education_years,score,sex,role,hired
11,66,Female,Manager,1
18,67,Male,Manager,1
16,78,Female,Analyst,0
20,74,Male,Manager,0
18,67,Male,Manager,0
19,98,Female,Analyst,0
14,71,Female,Analyst,0
12,96,Male,Analyst,1
20,65,Male,Analyst,1
15,80,Male,Manager,0
11,69,Female,Analyst,0
20,91,Male,Manager,1
13,82,Male,Analyst,1
20,62,Male,Manager,1
10,73,Female,Analyst,1
15,60,Male,Analyst,1
12,94,Male,Manager,0
11,62,Female,Manager,0
11,96,Male,Manager,1
16,80,Male,Analyst,1
17,65,Female,Manager,0
11,79,Male,Manager,0
12,92,Male,Analyst,1
15,75,Female,Analyst,1
12,64,Male,Analyst,1
19,96,Female,Manager,1
15,69,Female,Manager,0
19,82,Female,Analyst,0
17,63,Male,Analyst,0
11,89,Female,Manager,0
10,96,Female,Manager,1
10,66,Male,Manager,0
11,62,Female,Analyst,0
12,83,Female,Manager,0
15,81,Male,Analyst,1
20,81,Male,Analyst,1
15,85,Female,Manager,1
20,68,Female,Manager,0
20,87,Female,Analyst,1
15,72,Female,Manager,1
11,66,Male,Manager,0
20,68,Female,Manager,0
12,88,Male,Analyst,1
19,88,Female,Manager,1
17,83,Male,Analyst,1
16,70,Female,Manager,0
12,63,Female,Manager,0
18,78,Male,Analyst,1
17,87,Male,Analyst,1
10,63,Female,Manager,0
16,83,Male,Analyst,1
15,68,Female,Analyst,1
17,90,Female,Analyst,1
12,67,Male,Manager,0
11,75,Male,Analyst,1
17,92,Male,Analyst,1
14,60,Female,Manager,0
11,64,Female,Manager,0
18,84,Female,Analyst,1
10,64,Male,Manager,1
20,97,Female,Analyst,1
20,89,Female,Analyst,0
12,64,Male,Analyst,1
13,80,Male,Analyst,0
18,76,Male,Manager,1
10,77,Female,Manager,1
16,84,Male,Manager,1
18,65,Male,Manager,0
19,94,Male,Analyst,1
17,70,Male,Manager,0
10,87,Male,Manager,0
20,83,Male,Manager,1
12,69,Female,Analyst,0
13,83,Male,Manager,1
19,88,Female,Analyst,0
18,85,Female,Manager,1
11,71,Male,Analyst,1
14,73,Male,Manager,0
17,67,Male,Analyst,1
11,82,Female,Manager,0
14,70,Female,Manager,0
18,67,Female,Analyst,0
13,61,Female,Manager,0
12,64,Female,Analyst,1
17,86,Female,Manager,0
17,93,Female,Manager,1
18,68,Female,Analyst,1
12,70,Male,Manager,1
13,93,Female,Manager,1
18,68,Female,Manager,0
11,97,Female,Analyst,0
19,96,Female,Manager,1
11,96,Female,Analyst,1
10,94,Female,Manager,1
17,85,Female,Analyst,1
17,73,Male,Manager,1
15,85,Male,Manager,1
17,77,Male,Analyst,1
10,84,Male,Manager,0
15,72,Female,Manager,0
18,91,Male,Manager,1
17,73,Male,Analyst,1
14,98,Male,Manager,1
11,68,Female,Manager,0
16,62,Female,Manager,1
11,92,Female,Manager,1
19,68,Female,Analyst,0
15,72,Male,Analyst,1
10,62,Male,Analyst,1
19,80,Male,Analyst,0
16,97,Male,Manager,1
14,61,Female,Manager,1
16,61,Female,Manager,0
19,63,Female,Analyst,0
20,69,Male,Manager,1
13,88,Female,Analyst,1
13,92,Male,Manager,0
10,93,Female,Analyst,1
20,93,Male,Manager,1
18,76,Female,Manager,0
13,95,Male,Manager,0
13,80,Female,Manager,1
14,67,Female,Manager,0
15,78,Male,Analyst,1
11,88,Female,Manager,1
14,68,Female,Manager,1
13,63,Female,Analyst,0
16,90,Male,Manager,1
10,86,Female,Analyst,0
14,78,Female,Manager,0
11,94,Female,Analyst,1
16,62,Female,Analyst,0
17,78,Male,Analyst,1
15,89,Male,Manager,0
17,92,Female,Analyst,1
17,71,Male,Manager,1
14,71,Male,Analyst,1
15,85,Male,Analyst,1
12,80,Male,Manager,1
14,79,Male,Manager,1
14,75,Female,Manager,1
18,67,Male,Manager,0
15,74,Female,Analyst,1
15,95,Female,Manager,0
20,75,Female,Analyst,0
18,64,Female,Manager,0
18,96,Male,Analyst,0
20,97,Male,Analyst,1
17,89,Female,Analyst,1
20,61,Female,Manager,0
13,62,Female,Analyst,0
11,62,Male,Manager,1
12,83,Male,Manager,0
16,94,Female,Analyst,1
11,94,Female,Analyst,0
10,89,Female,Manager,0
18,74,Female,Manager,1
11,86,Female,Analyst,0
10,73,Female,Analyst,1
10,62,Female,Analyst,0
13,68,Male,Analyst,0
15,75,Female,Manager,1
20,86,Male,Analyst,0
12,95,Female,Manager,1
20,93,Female,Manager,1
18,75,Male,Manager,0
12,63,Male,Manager,0
13,73,Male,Manager,1
17,65,Male,Manager,1
19,64,Male,Analyst,1
20,90,Female,Analyst,1
13,67,Female,Analyst,0
13,85,Female,Analyst,0
18,79,Male,Manager,1
17,66,Male,Manager,0
13,80,Male,Manager,1
13,61,Female,Analyst,0
12,81,Male,Analyst,1
13,95,Female,Manager,1
20,89,Female,Manager,1
