age,years_employed,gender,department,approved
23,23,Female,Technology,1
56,2,Female,Healthcare,0
35,7,Male,Healthcare,0
48,7,Female,Technology,0
22,24,Female,Retail,1
43,3,Female,Retail,0
44,19,Male,Technology,1
46,2,Female,Healthcare,0
45,18,Female,Retail,1
27,27,Male,Retail,0
51,20,Male,Technology,1
26,19,Female,Healthcare,1
32,14,Female,Technology,0
42,26,Male,Retail,1
42,12,Male,Technology,1
35,20,Female,Technology,1
51,4,Female,Technology,0
49,28,Female,Healthcare,1
30,16,Male,Technology,1
49,19,Female,Retail,1
51,16,Female,Technology,1
56,24,Female,Technology,0
40,13,Male,Retail,0
54,24,Male,Retail,1
62,9,Male,Healthcare,1
55,0,Male,Healthcare,1
45,28,Male,Technology,1
53,26,Male,Retail,0
30,4,Female,Healthcare,1
49,6,Female,Healthcare,0
41,12,Female,Healthcare,0
36,2,Male,Technology,1
59,7,Female,Retail,1
43,2,Female,Healthcare,1
35,17,Female,Retail,0
52,25,Male,Technology,1
49,11,Male,Technology,1
28,1,Female,Technology,0
28,7,Female,Retail,0
37,27,Male,Retail,1
57,3,Female,Retail,1
37,5,Male,Technology,1
47,28,Male,Retail,1
51,9,Female,Technology,0
57,21,Female,Healthcare,1
56,1,Male,Healthcare,1
52,16,Male,Healthcare,1
60,2,Male,Healthcare,0
58,7,Male,Healthcare,1
55,10,Female,Technology,1
37,8,Female,Technology,0
26,0,Female,Technology,0
28,2,Female,Healthcare,0
37,11,Female,Technology,1
41,19,Female,Healthcare,0
28,28,Female,Retail,1
57,4,Female,Technology,1
38,16,Female,Technology,1
25,2,Female,Healthcare,1
62,8,Female,Retail,0
49,17,Female,Retail,0
24,26,Male,Technology,1
30,1,Male,Technology,0
44,6,Male,Healthcare,1
57,28,Male,Technology,0
32,25,Male,Retail,0
43,25,Male,Technology,0
28,12,Male,Retail,0
51,11,Male,Technology,1
47,10,Female,Technology,0
39,11,Female,Healthcare,0
23,3,Male,Technology,1
38,1,Female,Retail,0
54,3,Male,Technology,0
24,22,Male,Technology,1
34,11,Female,Technology,1
43,19,Female,Technology,0
48,10,Female,Technology,0
34,13,Female,Healthcare,0
41,12,Female,Healthcare,0
35,13,Male,Healthcare,1
54,15,Female,Healthcare,1
54,21,Male,Healthcare,0
41,7,Male,Retail,1
52,19,Male,Retail,0
46,15,Female,Technology,1
22,28,Female,Retail,0
51,1,Female,Healthcare,1
51,4,Female,Technology,0
50,19,Female,Healthcare,0
57,14,Male,Retail,1
62,8,Male,Healthcare,1
50,2,Male,Healthcare,1
30,4,Female,Retail,1
35,2,Male,Technology,1
48,12,Male,Healthcare,0
58,12,Male,Technology,1
48,17,Female,Healthcare,0
36,15,Female,Retail,0
47,23,Female,Retail,0
61,17,Female,Retail,0
49,4,Male,Technology,1
42,6,Male,Technology,1
48,8,Female,Retail,1
25,11,Female,Retail,0
37,6,Female,Retail,0
52,21,Male,Retail,0
32,19,Female,Healthcare,0
32,9,Female,Retail,0
46,12,Female,Healthcare,1
62,7,Female,Retail,0
58,25,Female,Retail,0
45,2,Male,Healthcare,1
49,11,Male,Healthcare,0
31,13,Male,Retail,1
56,24,Female,Technology,0
59,8,Female,Technology,1
37,24,Female,Technology,0
43,0,Female,Technology,1
43,8,Female,Healthcare,0
22,16,Male,Retail,1
52,20,Female,Healthcare,0
27,9,Female,Retail,0
57,16,Male,Technology,1
43,11,Female,Healthcare,1
42,3,Female,Healthcare,0
33,6,Female,Retail,0
60,9,Female,Retail,0
45,5,Male,Technology,1
57,9,Female,Healthcare,0
53,3,Female,Retail,0
25,8,Male,Technology,1
53,2,Male,Healthcare,1
41,2,Female,Retail,1
60,19,Female,Healthcare,0
59,13,Male,Technology,1
28,24,Male,Retail,1
57,2,Male,Retail,1
60,15,Male,Technology,1
26,21,Female,Retail,0
62,18,Female,Healthcare,1
31,8,Male,Retail,1
41,19,Male,Healthcare,1
41,22,Male,Technology,0
53,14,Female,Retail,0
23,2,Female,Retail,0
58,18,Female,Retail,1
33,15,Male,Healthcare,1
33,18,Female,Technology,1
43,10,Male,Healthcare,1
48,22,Male,Technology,0
51,2,Female,Technology,1
47,27,Male,Healthcare,0
25,6,Male,Healthcare,1
62,14,Female,Retail,0
53,3,Male,Retail,0
37,22,Female,Retail,0
29,14,Male,Retail,1
40,16,Male,Healthcare,0
57,4,Male,Technology,1
30,27,Female,Retail,0
54,8,Female,Retail,1
59,18,Male,Healthcare,1
57,24,Male,Healthcare,1
34,22,Female,Retail,0
52,22,Male,Technology,1
31,15,Female,Retail,1
50,3,Male,Healthcare,0
31,13,Male,Healthcare,0
61,22,Male,Technology,1
56,12,Female,Technology,0
61,2,Female,Retail,0
36,23,Female,Retail,0
50,5,Female,Healthcare,1
42,25,Male,Retail,1
58,21,Female,Retail,1
46,19,Male,Healthcare,1
38,14,Male,Technology,1
51,28,Female,Technology,0
59,9,Male,Healthcare,0
51,27,Female,Technology,0
58,11,Male,Healthcare,1
23,26,Female,Healthcare,0
25,19,Female,Healthcare,0
40,24,Female,Retail,0
30,20,Female,Retail,0
41,25,Female,Technology,1
42,23,Female,Technology,1
56,28,Male,Technology,0
52,25,Male,Technology,0
29,14,Male,Retail,0
47,27,Female,Healthcare,1
22,8,Female,Healthcare,0
46,26,Male,Healthcare,0
36,15,Male,Retail,1
26,20,Female,Technology,0
48,3,Male,Retail,0
37,28,Male,Healthcare,1
56,13,Male,Healthcare,1
53,19,Male,Technology,0
45,6,Male,Technology,1
45,17,Female,Healthcare,1
34,3,Male,Technology,1
25,25,Female,Technology,1
58,6,Male,Retail,1
36,10,Female,Retail,0
39,27,Female,Retail,0
23,4,Male,Retail,1
